rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
2799,Kepler-158 c,Kepler-158,c,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,284.0323723,39.7815365,16.12696,69.82072,62.08309,293.44881,28.551383,1.9,0.17,4.27,0.0134,M-R relationship,3.42,,4623.0,0.62,0.66,-0.757,13.9,4.66,2.46093,,,315.177
2800,Kepler-1580 b,Kepler-1580,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.9687099,41.3635264,15.37287,71.92375,63.29443,297.35179,56.6449279,2.11,0.188,5.1,0.016,M-R relationship,2.98,,6228.0,2.15,1.47,0.926,2.75,3.94,0.09572,,,1002.02
2801,Kepler-1581 b,Kepler-1581,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.3713199,39.6036225,13.69395,70.69427,61.32645,298.64757,6.28385491,0.8,0.071,0.437,0.00137,M-R relationship,4.69,,6022.0,1.23,1.12,0.391,4.17,4.31,0.50483,,,493.175
2802,Kepler-1582 b,Kepler-1582,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.3765441,41.1580845,12.94693,72.79808,62.4184,302.64926,4.83817712,1.49,0.133,2.83,0.00889,M-R relationship,4.7,,3208.0,0.3,0.28,-2.389,7.76,4.93,26.12704,,,78.8906
2803,Kepler-1583 b,Kepler-1583,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.3869335,47.0165188,17.23201,77.49514,68.64894,301.89133,9.32807355,0.6,0.054,0.156,0.00049,M-R relationship,3.97,,5645.0,0.91,0.94,-0.018,4.27,4.49,1.12325,,,403.933
2804,Kepler-1584 b,Kepler-1584,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.7626791,43.2743929,14.90333,74.28379,64.78753,301.42856,13.3997099,1.61,0.144,3.22,0.0101,M-R relationship,4.24,,6069.0,1.13,1.1,0.252,3.31,4.37,1.9881,,,1416.31
2805,Kepler-1585 b,Kepler-1585,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.1589897,44.5630457,10.02584,78.17318,63.91865,315.59821,3.5827463,1.79,0.16,3.86,0.0121,M-R relationship,3.7,,5538.0,0.91,0.94,-0.434,4.37,4.5,8.05131,,,944.465
2806,Kepler-1586 b,Kepler-1586,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,298.2026236,44.9258585,8.93302,79.20915,63.65229,318.93142,15.6049212,1.52,0.136,2.92,0.0092,M-R relationship,4.57,,6681.0,1.75,1.45,0.183,1.7,4.12,1.35176,,,552.55
2807,Kepler-1587 b,Kepler-1587,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.6777294,49.6638666,14.43882,81.73931,69.54125,315.55828,9.4060467,1.33,0.119,2.33,0.00733,M-R relationship,5.44,,5933.0,1.22,1.08,0.326,5.01,4.3,0.54468,,,1026.48
2808,Kepler-1588 b,Kepler-1588,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.2327232,48.0021967,16.44589,78.93826,69.16948,306.06531,7.84931739,0.76,0.068,0.363,0.00114,M-R relationship,4.54,,5817.0,0.99,0.96,0.32,5.5,4.43,1.26826,,,924.141
2809,Kepler-1589 b,Kepler-1589,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.4418236,40.5716114,9.25568,73.9989,60.66841,309.91127,0.99166527,1.09,0.097,1.32,0.00416,M-R relationship,5.6,,6166.0,1.25,1.18,0.329,2.75,4.32,0.62556,,,1513.14
2810,Kepler-159 b,Kepler-159,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.0702037,40.868734,7.65134,75.22984,60.24835,313.90691,10.139623,2.38,0.212,6.26,0.0197,M-R relationship,2.55,M0 V,4625.0,0.66,0.63,-0.754,2.51,4.65,5.02511,,,373.744
2811,Kepler-159 c,Kepler-159,c,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.0702037,40.868734,7.65134,75.22984,60.24835,313.90691,43.595792,3.41,0.304,11.5,0.0363,M-R relationship,1.59,M0 V,4625.0,0.66,0.63,-0.754,2.51,4.65,4.00084,,,373.744
2812,Kepler-1590 b,Kepler-1590,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.4079141,48.0178915,14.50514,79.83412,68.39255,311.5301,7.61760804,1.14,0.102,1.55,0.00489,M-R relationship,5.75,,6053.0,1.16,1.11,0.063,3.39,4.35,1.49506,,,771.152
2813,Kepler-1591 b,Kepler-1591,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.5166659,44.6086233,9.82378,78.33732,63.85826,316.16996,8.18504949,1.27,0.113,2.15,0.00678,M-R relationship,5.77,,6082.0,1.16,1.1,0.434,3.24,4.35,0.92539,,,1419.58
2814,Kepler-1592 b,Kepler-1592,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.850623,38.3977379,8.64059,71.83822,58.75823,307.66238,3.05710069,1.54,0.137,2.99,0.0094,M-R relationship,4.5,,6213.0,1.28,1.18,0.507,2.69,4.29,0.58289,,,1639.47
2815,Kepler-1593 b,Kepler-1593,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,300.4882018,44.4606698,7.29669,79.63594,62.53263,321.72939,174.509835,3.17,0.283,10.2,0.032,M-R relationship,1.76,,4995.0,0.77,0.81,-0.652,3.63,4.59,2.14,,,638.249
2816,Kepler-1594 b,Kepler-1594,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.6230451,47.9619127,13.14169,80.43622,67.73697,315.09346,2.71603809,1.06,0.095,1.2,0.00377,M-R relationship,5.54,,5946.0,1.08,1.06,0.0,3.89,4.39,3.63808,,,976.868
2817,Kepler-1595 b,Kepler-1595,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.7227502,43.0094855,16.17228,73.4308,64.93395,297.88611,4.56380468,1.23,0.11,2.04,0.00642,M-R relationship,6.02,,5203.0,0.8,0.84,-0.363,4.68,4.56,2.74456,,,845.022
2818,Kepler-1596 b,Kepler-1596,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.5575066,49.3300866,18.57532,79.55824,71.01827,302.50501,66.373379,1.9,0.17,4.27,0.0134,M-R relationship,3.42,,5706.0,0.92,0.95,0.431,3.89,4.49,0.42377,,,2146.23
2819,Kepler-1597 b,Kepler-1597,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.1639687,42.4810124,14.31582,73.65455,63.94333,301.56032,2.94654179,1.06,0.095,1.2,0.00377,M-R relationship,5.54,,6377.0,1.39,1.25,0.434,2.4,4.24,0.816,,,1221.05
2820,Kepler-1598 b,Kepler-1598,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.469107,46.7836464,15.82723,77.83275,67.96994,305.33287,4.34195123,0.95,0.085,0.809,0.00254,M-R relationship,5.18,,5940.0,1.09,1.07,-0.039,3.8,4.39,1.92063,,,619.862
2821,Kepler-1599 b,Kepler-1599,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.2208685,41.1511886,15.11555,71.79761,63.04221,297.64411,122.363553,1.62,0.145,3.26,0.0102,M-R relationship,4.21,,5767.0,0.99,0.99,0.241,4.27,4.45,0.78973,,,1328.2
