pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 3167 d,HD 3167,d,1,4,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,8.7401487,4.3807215,-58.2406,115.11108,0.56228,9.74901,8.4112,1.92,0.171,4.33,0.01362,Msini,3.36,K0 V,5261.0,0.88,0.84,-0.27,7.8,4.47,1.81727,23.52,1.7,47.2899,Super Earth
HD 39194 b,HD 39194,b,1,3,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.129071,-70.1382377,-31.0579,280.60948,-86.14976,289.97279,5.6368,1.83,0.163,4.0,0.01259,Msini,3.59,K0 V,5205.0,0.78,0.67,-0.409,10.0,4.53,2.57709,,2.0,26.4131,Super Earth
HD 39194 d,HD 39194,d,1,3,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,86.129071,-70.1382377,-31.0579,280.60948,-86.14976,289.97279,33.91,1.83,0.163,4.0,0.01259,Msini,3.59,K0 V,5205.0,0.78,0.67,-0.409,10.0,4.53,2.57709,,2.0,26.4131,Super Earth
HD 40307 b,HD 40307,b,1,5,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,88.5172191,-60.0237289,-30.34064,268.81455,-83.4296,83.51224,4.3123,1.83,0.163,4.0,0.0126,Msini,3.59,K2.5 V,4956.0,0.72,0.77,-0.639,4.5,4.47,3.02559,,1.0,12.9363,Super Earth
HD 93351 b,HD 93351,b,1,2,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,161.6779279,-1.6885763,48.38682,251.73609,-8.74432,163.74643,2.45946,1.69,0.151,3.49611,0.011,Msini,3.98,,5408.0,0.91,0.94,-0.194,,4.49,1.75031,,,56.163,Super Earth
HD 93385 b,HD 93385,b,1,3,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,161.5627065,-41.464604,15.54215,279.10045,-44.5708,183.69813,7.3426,1.88,0.168,4.2,0.01321,Msini,3.47,G2/G3 V,5977.0,1.18,1.04,0.207,3.3,4.42,0.93236,,,43.3475,Super Earth
HD 96700 c,HD 96700,c,1,3,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,166.9742616,-30.1751383,27.58074,277.73064,-32.59337,181.43997,19.88,1.69,0.151,3.5,0.01101,Msini,3.98,G0 V,5845.0,1.16,0.89,0.14,8.6,4.39,1.00305,,1.6,25.4111,Super Earth
HD 97658 b,HD 97658,b,1,1,Radial Velocity,2010,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,168.6376584,25.7105962,68.29493,211.16108,19.11218,159.20306,9.4897116,2.12,0.189,8.3,0.02611,Mass,4.8,K1 V,5212.0,0.73,0.85,-0.455,3.9,4.64,3.1,,0.5,21.5618,Super Earth
L 98-59 e,L 98-59,e,1,4,Radial Velocity,2021,Multiple Locales,Multiple Observatories,Multiple Telescopes,Multiple Instruments,124.5328604,-68.3144658,-17.5933,281.81705,-76.81365,203.32553,12.796,1.56,0.139,3.06,0.00963,Msini,4.43,M3 V,3415.0,0.3,0.27,-1.948,0.8,4.86,12.89991,80.9,0.0,10.6194,Super Earth
Ross 128 b,Ross 128,b,1,1,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,176.9376036,0.7992898,59.55577,270.15662,-0.48414,176.86846,9.8658,1.11,0.099,1.4,0.0044,Msini,5.63,M4,3192.0,0.2,0.17,-2.441,5.0,5.05,27.33385,123.0,,3.37454,Super Earth
Ross 508 b,Ross 508,b,1,1,Radial Velocity,2022,Ground,Subaru Telescope,8.2 m Subaru Telescope,Infrared Doppler (IRD),230.9613022,17.4605347,53.59997,25.647,34.7513,223.00827,10.77,1.83,0.163,4.0,0.01259,Msini,3.59,M4.5 V,3071.0,0.21,0.18,-2.445,,5.04,26.5,,,11.2103,Super Earth
TOI-431 c,TOI-431,c,1,3,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,83.2692502,-26.7238698,-28.13706,230.32938,-49.94464,80.63406,4.8494,1.49,0.133,2.83,0.0089,Msini,4.7,,4850.0,0.73,0.78,-0.565,,4.6,2.93977,30.5,2.5,32.5686,Super Earth
TOI-500 c,TOI-500,c,1,4,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,106.559098,-47.5878156,-17.33308,258.09657,-69.15487,122.69288,6.6356,2.09,0.187,5.03,0.01583,Msini,3.03,K6 V,4440.0,0.68,0.74,-0.7,5.0,4.62,2.32228,,1.1,47.3924,Super Earth
Teegarden's Star b,Teegarden's Star,b,1,3,Radial Velocity,2019,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,43.2691449,16.8649024,-37.03132,160.29013,0.30112,45.82248,4.90634,1.05,0.094,1.16,0.00365,Msini,5.51,M7.0 V,3034.0,0.12,0.1,-3.141,8.0,5.19,79.80688,96.2,2.0,3.83078,Super Earth
Teegarden's Star c,Teegarden's Star,c,1,3,Radial Velocity,2019,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,43.2691449,16.8649024,-37.03132,160.29013,0.30112,45.82248,11.416,1.02,0.091,1.05,0.0033,Msini,5.44,M7.0 V,3034.0,0.12,0.1,-3.141,8.0,5.19,79.80688,96.2,2.0,3.83078,Super Earth
Wolf 1061 b,Wolf 1061,b,1,3,Radial Velocity,2015,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,247.5748276,-12.6676866,23.67715,3.34702,9.06449,247.85836,4.8869,1.21,0.108,1.91,0.00601,Msini,5.92,M3.5,3342.0,0.31,0.29,-1.991,,4.9,12.74782,95.0,,4.30592,Super Earth
Wolf 1061 c,Wolf 1061,c,1,3,Radial Velocity,2015,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,247.5748276,-12.6676866,23.67715,3.34702,9.06449,247.85836,17.8719,1.66,0.148,3.41,0.01073,Msini,4.1,M3.5,3342.0,0.31,0.29,-1.991,,4.9,12.74782,95.0,,4.30592,Super Earth
